"MaterialType","Materials_Details_EN","Notes"
"生材（トネリコ属、丸木）","material log/trunk raw material Ash (Fraxinus sp.)",""
"生材（トネリコ属、表面加工）","material raw material Ash (Fraxinus sp.)",""
"生材(トネリコ属)","material raw material Ash (Fraxinus sp.)",""
"生材(トネリコ属シオジ節)","material raw material Ash (Fraxinus sp.) Ash (Fraxinus platypoda)",""
"生材(トネリコ属トネリコ節)","material raw material Ash (Fraxinus sp.)",""
"生材(トリネコ属シオジ節)",,"Needs translation"
"生材(ニシキギ属)","material raw material spindle tree (Euonymus sp.)",""
"生材(ニレ属)",,"Needs translation"
"生材(ネムノキ)","material raw material silk tree (Albizia julibrissin)",""
"生材(ノブドウ属茎)","material stem raw material grapes (Vitaceae)",""
"生材(ノリウツギ)","material raw material bridal wreath (Deutzia crenata)",""
"生材(ハリグワ)","material raw material mandarin melon berry (Cudrania tricuspidata)",""
"生材（ハリハギ、板材）","material plank raw material",""
"生材(ハンノキ亜属)","material raw material Japanese alder (Alnus japonica)​",""
"生材(ハンノキ属)","material raw material alder (Alnus sp.)​",""
"生材(ハンノキ属ハンノキ亜属)","material raw material Japanese alder (Alnus japonica)​ alder (Alnus sp.)​",""
"生材(ヒサカキ)",,"Needs translation"
"生材（ヒノキ、最終形成年輪）","final annual ring, hinoki cypress (Chamaecyparis obtusa)",""
"生材(ヒノキ)","material raw material hinoki cypress (Chamaecyparis obtusa)",""
"生材（ヒノキ）","wood, hinoki cypress (Chamaecyparis obtusa)",""
"生材(ヒノキ科)","material raw material hinoki cypress (Chamaecyparis obtusa)",""
"生材(ヒノキ科アスナロ属)","material raw material hatchet-leaved arbor-vitae (Thujopsis dolabrata) hinoki cypress (Chamaecyparis obtusa)",""
"生材(ヒバ)","material raw material hiba (Thujopsis dolabrata)",""
"生材(ブナ属)","material raw material beech (Fagus sp.)",""
"生材(マキ属)","material raw material plum pine (Podocarpus sp.)​",""
"生材(マツ属)","material raw material pine (Pinus sp.)",""
"生材(マツ属複維管束亜属","material raw material pine (Pinus sp.) subgen compound vascular",""
"生材（マツ属複維管束亜属、最終形成年輪）","material year ring raw material, pine (Pinus sp.) subgen compound vascular",""
"生材(マツ属複維管束亜属)","material raw material pine (Pinus sp.) subgen compound vascular",""
"生材（マツ属複維管束亜属）","material raw material, pine (Pinus sp.) subgen compound vascular",""
"生材（マツ属複維管束亜属）1-5年輪目（辺材部）","sapwood - outermost 1-5 year annual rings, pine (Pinus sp.) subgen compound vascular",""
"生材（マツ属複維管束亜属）16-20年輪目","16-20th annual rings, pine (Pinus sp.) subgen compound vascular",""
"生材（マツ属複維管束亜属）31-35年輪目","31-35th annual rings, pine (Pinus sp.) subgen compound vascular",""
"生材（マツ属複維管束亜属）41-45年輪目","41-45th annual rings, pine (Pinus sp.) subgen compound vascular",""
"生材（マツ属複維管束亜属）幹あるいは枝、最終形成年輪を含む2年輪分","trunk or branch outer-most 2 year rings, pine (Pinus sp.) subgen compound vascular",""
"生材(ムクノキ)","material raw material oriental elm (Aphananthe aspera)",""
"生材(ムクロジ)",,"Needs translation"
"生材（ムクロジ）","material raw material soapberry (Sapindaceae)",""
"生材(モクレン属)","material raw material magnolia (Magnolia sp.)",""
"生材(モチノキ属)",,"Needs translation"
"生材(モミ属)","material raw material fir (Abies sp.)",""
"生材（モミ属）最外年輪","material outermost year ring raw material, fir (Abies sp.)",""
"生材(モモ)","material raw material peach (Amygdalus persica syn. Prunus)",""
"生材（ヤナギ属、12年輪）最外年輪","outer-most 12 year ring, willow (Salix sp.)",""
"生材（ヤナギ属、丸木）","material log/trunk raw material willow (Salix sp.)",""
"生材(ヤナギ属)","material raw material willow (Salix sp.)",""
"生材（ヤナギ属）","wood, willow (Salix sp.)",""
"生材（ヤナギ属）4年輪＋","wood 4th annual ring, willow (Salix sp.)",""
"生材(ヤナギ属根材)","material root raw material willow (Salix sp.)",""
"生材(ヤナギ属樹皮)","material bark raw material willow (Salix sp.)",""
"生材(ヤナギ科ヤナギ属)","material raw material willow (Salix sp.)",""
"生材(ヤマウルシ)","material raw material Japanese sumac (Toxicodendron trichocarpum)",""
"生材（ヤマグワ）","material raw material, Chinese mulberry (Morus australis syn bombycis) ",""
"生材(不明)","unknown material raw material",""
"生材（丸太）","material raw material, wood indet.",""
"生材（最外年輪？）","material outermost year ring raw material, wood indet.",""
"生材（最外年輪（2年輪分））","material outermost year ring raw material, wood indet.",""
"生材（最外年輪）","material outermost year ring raw material",""
"生材（最終形成年輪）柱","post (sapwood), wood indet.",""
"生材（最終形成年輪）立木（自然木）外側3年輪分","outer-most 3 year ring, wood indet.",""
"生材（最終形成年輪）自然木・小枝","outermost rannual rings (twigs), wood indet.",""
"生材(外から11年〜15年輪目の5年分(中心は13年輪目)) モミ属","material year ring from outermost raw material fir (Abies sp.)",""
"生材(外から11年輪目(1年輪分)) ケヤキ","material year ring from outermost raw material Japanese zelkova (Zelkowa serrata)",""
"生材(外から1年〜5年輪目の5年分(中心は3年輪目)) 最外部年輪 モミ属","material outermost year ring from outermost raw material fir (Abies sp.)",""
"生材(外から21年〜25年輪目の5年分(中心は23年輪目)) モミ属","material year ring from outermost raw material fir (Abies sp.)",""
"生材(外から21年輪目(1年輪分)) ケヤキ","material year ring from outermost raw material Japanese zelkova (Zelkowa serrata)",""
"生材(外から31年〜35年輪目の5年分(中心は33年輪目)) モミ属","material year ring from outermost raw material fir (Abies sp.)",""
"生材(外から41年〜45年輪目の5年分(中心は43年輪目)) モミ属","material year ring from outermost raw material fir (Abies sp.)",""
"生材(小枝)",,"Needs translation"
"生材(広葉樹･散孔材)","material raw material hardwood",""
"生材(広葉樹･環孔材)","material ring porous raw material hardwood",""
"生材(広葉樹)","material raw material hardwood",""
"生材（広葉樹）最外年輪（5年輪）","outer-most 5 year ring, hardwoods",""
"生材(広葉樹樹皮)",,"Needs translation"
"生材（散孔材の根財）最終形成年輪","post outermost ring, wood indet.",""
"生材(木杭)","material wooden stake wooden stake raw material",""
"生材（木片）","material wood frag fragments raw material, wood indet.",""
"生材（木片）最外年輪（5年輪分）","outermost 5 year annual rings, wood indet.",""
"生材（木製品）","material wooden items raw material, wood indet.",""
"生材（未同定）","wood, wood indet.",""
"生材(杭)","material wooden stake raw material",""
"生材（杭）最外年輪","material outermost year ring wooden stake raw material, wood indet.",""
"生材（杭）最終形成年輪","wodoen pile - outermost ring, wood indet.",""
"生材（杭材；カヤ属）最外年輪","material outermost year ring wooden stake raw material, Japanese nutmeg tree​ (Torreya nucifera)",""
"生材（板状木製品）","material plank wooden items raw material, wood indet.",""
"生材（枝？年輪数不明）","branches? Number of annual rings unknown, wood indet.",""
"生材(枝)","material branch raw material",""
"生材（枝材）最外年輪","material outermost year ring branch raw material, wood indet.",""
"生材（枝状）","material branch raw material",""
"生材（柱根、丸木）","material log/trunk root root or post base?post/pillar raw material, wood indet.",""
"生材(根)","material root raw material",""
"生材（根株）","material stump raw material, wood indet.",""
"生材（根株）最終形成年輪","stump - outermost rings, wood indet.",""
"生材(樹皮)","material bark raw material",""
"生材(樹皮の内側1年目(1年輪)) 最外年輪 モミ属","material bark outermost year ring inside raw material fir (Abies sp.)",""
"生材(樹皮の内側1年輪目(1年輪分)) 最外年輪 ケヤキ","material bark outermost year ring inside raw material Japanese zelkova (Zelkowa serrata)",""
"生材(樹種不明)","unknown material raw material",""
"生材(環孔材)","material ring porous raw material",""
"生材（立木；ヤナギ属）最外年輪","material outermost year ring raw material, willow (Salix sp.)",""
"生材（立木）","material raw material, wood indet.",""
"生材（立木）最終形成年輪","outermost annual rings, wood indet.",""
"生材(自然木)","material raw material natural wood",""
"生材（辺材部）柱","post (sapwood), wood indet.",""
"生材（部位不明）","unknown material raw material",""
"生材（針葉樹、最終形成年輪以外部位不明、外側10年輪分）","parts of the tree other than the final formative year unknown, outer 10-year cycle score, Coniferae",""
"生材（針葉樹、最終形成年輪以外部位不明、外側5年輪分）","parts of the tree other than the final formative year unknown, outer 5-year cycle score, Coniferae",""
"生材(針葉樹)","material raw material Coniferae",""
"生材破片(サクラ属)",,"Needs translation"
"生材破片(スギ)",,"Needs translation"
"生材試料(オニグルミ)","material raw material sample walnut (Juglans ailanthifolia)",""
"生果実（クサネム）","fruit /achenes etc, kusanemu (Aeschynomene indica)",""
"生漆","Lacquer",""
"生漆片","Lacquer",""
"生痕化石(ニオガイモドキ)","Pilsbry piddock (Zirfaea subconstricta)",""
"生種実","seed/nuts",""
"生種実(アカガシ)","seed/nuts Japanese evergreen oak (Quercus acuta)",""
"生種実(イネ果実)","seed/nuts fruit /achenes etc rice (Oryza sativa)",""
"生種実(エゴノキ核)","seed/nuts snowbell tree (Styrax japonica)",""
"生種実(オニグルミ核)","seed/nuts walnut (Juglans ailanthifolia)",""
"生種実(カヤ種子)","seed seed/nuts Japanese nutmeg tree​ (Torreya nucifera)",""
"生種実(スモモ種子)","seed seed/nuts peach (Amygdalus persica syn. Prunus)",""
"生種実(ツクバネガシ)","seed/nuts Tsukubanegashi oak (Quercus sessilifolia)",""
"生種実(ツクバネガシ果実)","seed/nuts fruit /achenes etc Tsukubanegashi oak (Quercus sessilifolia)",""
"生種実(トチノキ種子)","seed seed/nuts horse chestnut (Aesculus turbinata) Aesculus??",""
"生種実(ブナ果実)","seed/nuts fruit /achenes etc beech (Fagaceae)",""
"生種実(マツ属球果)","seed/nuts cones pine (Pinus sp.)",""
"生種実(モミ種子)","seed seed/nuts fir (Abies sp.)",""
"生種実(モモ核)","seed/nuts peach (Amygdalus persica syn. Prunus)",""
"生竹","bamboo",""
"生試料･その他","raw sample sample",""
"生試料･その他(樹皮)","bark raw sample sample",""
"生試料･その他(繊維)","textile fiber / fiborous raw sample sample",""
"生試料･杉皮","raw sample sample cedar (Cryptomeria japonica) bark",""
"生試料・材","sampled wood, wood indet.",""
"生試料･材","material raw sample sample",""
"生試料･材(アカマツ)","material raw sample sample pine (Pinus sp.)",""
"生試料･材(カエデ属)","material raw sample sample maple (Acer sp.)",""
"生試料･材（カツラ）","material raw sample sample katsura (Cercidiphyllum japonicum)",""
"生試料･材(クスノキ科シロダモ属)","material raw sample sample Lauraceae shirodamo (Neolitsea sp.) camphor tree (Cinnamomum camphora)",""
"生試料･材(クリ)","material raw sample sample chestnut (Castanea crenata)",""
"生試料･材(ケヤキ)","material raw sample sample Japanese zelkova (Zelkowa serrata)",""
"生試料･材(コナラ節)","material raw sample sample Jolcham oak (Quercus serrata)",""
"生試料･材(スギ)","material raw sample sample Japanese cedar (Cryptomeria japonica)",""
"生試料･材(タケ亜科)","material raw sample sample bamboo (Bambusoideae)",""
"生試料･材(トネリコ属)","material raw sample sample Ash (Fraxinus sp.)",""
"生試料･材（トネリコ属）","material raw sample sample Ash (Fraxinus sp.)",""
"生試料･材（ニガキ）","material raw sample sample bitterwood (Picrasma quassioides)​",""
"生試料･材(ハンノキ属)","material raw sample sample alder (Alnus sp.)​",""
"生試料･材(ヒノキ)","material raw sample sample hinoki cypress (Chamaecyparis obtusa)",""
"生試料･材(ブナ属)","material raw sample sample beech (Fagus sp.)",""
"生試料･材（ブナ属）","material raw sample sample beech (Fagus sp.)",""
"生試料･材(ブナ科シイ属)","material raw sample sample chinquapin (Castanopsis sp.) Fagaceae",""
"生試料･材(ヤナギ属)","material raw sample sample willow (Salix sp.)",""
"生試料・材（最外以外年輪）","annual rings but not outermost, wood indet.",""
"生試料・材（最外年輪）","material outermost year ring raw sample sample, wood indet.",""
"生試料・材（最終形成年輪）","outermost rings, wood indet.",""
"生試料・材（最終形成年輪以外部位不明）","outermost rings, wood indet.",""
"生試料･植物遺体","plant plant remains raw sample sample",""
"生試料・植物遺体 タケ亜科","plant plant remains raw sample sample bamboo (Bambusoideae)",""
"生試料・植物遺体 草本植物","plant plant remains raw sample sample herbaceous plants",""
"生試料･植物遺体 麻茎","plant stem plant remains raw sample sample",""
"生試料･植物遺体(不明胚珠または花柄)","unknown plant plant remains raw sample sample",""
"生試料・植物遺体（草本遺体）","plant remains, herbaceous plants",""
"生試料･植物遺体(葉など-タブノキ)","plant plant remains raw sample sample Japanese bay tree (Machilus thunbergii)",""
"生試料･種子(ひょうたん)","seed raw sample sample bottle gourd (Lagenaria siceraria)",""
"生試料･種実","seed/nuts raw sample sample",""
"生試料･種実(アカメガシワ種子)","seed seed/nuts raw sample sample Japanese mallotus (Mallotus japonicus)",""
"生試料･種実(エゴノキ核)","seed/nuts raw sample sample snowbell tree (Styrax japonica)",""
"生試料･種実(オニグルミ)","seed/nuts raw sample sample walnut (Juglans ailanthifolia)",""
"生試料･種実(オニグルミ核)","seed/nuts raw sample sample walnut (Juglans ailanthifolia)",""
"生試料･種実(オニビシ果実)","seed/nuts fruit /achenes etc raw sample sample",""
"生試料･種実(クリ果実)","seed/nuts fruit /achenes etc raw sample sample chestnut (Castanea crenata)",""
"生試料･種実(コナラ殻斗)","seed/nuts shell raw sample sample oak (Quercus sp.) / ?Jolcham Oak (Quercus serrata)",""
"生試料･種実(トチノキ種子)","seed seed/nuts raw sample sample horse chestnut (Aesculus turbinata) Aesculus??",""
"生試料・種実（ヒシ属）","fruit /nuts, water caltrop (Trapa sp.)",""
"生試料･種実(ホオノキ種子)","seed seed/nuts raw sample sample big-leaf magloia (Magnolia obovata)",""
"生試料･種実(モモ核)","seed/nuts raw sample sample peach (Amygdalus persica syn. Prunus)",""
"生試料･草本","raw sample sample herbaceous plants",""
"生試料(タケ亜科)","raw sample sample bamboo (Bambusoideae)",""
"生試料（トチノキ果皮）","pericarp raw sample sample, horse chestnut (Aesculus turbinata)",""
"生試料(植物遺体)","plant plant remains raw sample sample",""
"畑跡フローテーションサンプル","flotation sample from field",""
"瘤(植物片)",,"Needs translation"
"石炭","coal?, coal",""
"石臼付着物","stone mill deposits",""
"砂岩板状礫（付着炭化材）（樹種不明・樹皮）","unknown carbonized material bark plank sand residue",""
"砂混じりシルト","silt sand",""
"砂混じり泥","sand",""
"砂混じり粘土","clay sand",""
"砂質シルト","silt sand",""
"砂質土","sand",""
"砂質泥炭","peat sand",""
"砂質粘土","clay sand",""
"砂質粘土〜粘土質砂層の材片など植物遺体の多い部分","plant material plant remains clay sand",""
"砥石付着炭化物","charcoal on grindstone",""
"礫付着炭化物","carbonized material residue",""
"礫混じり砂質シルト","silt sand",""
"種","seed",""
"種子","seed",""
"種子 クルミ","seed walnut (Juglans)",""
"種子・堅果類？","seed nut",""
"種子(アカガシ亜属殻斗)","seed shell Japanese evergreen oak (Quercus acuta)",""
"種子（アカガシ近似種果実）","seed or similar fruit /achenes etc, Japanese evergreen oak (Quercus acuta)",""
"種子（イヌガヤ）","seed, plum yew (Cephalotaxus harringtonia)",""
"種子（イネ胚乳）","seed, rice (Oryza sativa)",""
"種子(エゴノキ1個)","seed snowbell tree (Styrax japonica)",""
"種子(オニクルミ)","seed walnut (Juglans ailanthifolia) walnut (Juglans)",""
"種子(オニグルミ)","seed walnut (Juglans ailanthifolia)",""
"種子(オニグルミの殻)","seed nut shell walnut (Juglans ailanthifolia)",""
"種子(オニグルミ核)","seed walnut (Juglans ailanthifolia)",""
"種子（キハダ属）","seed amur cork (Phellodendron)",""
"種子(クサギ)","seed harlequin gloryblower (Clerodendrum trichotomum)",""
"種子(クスノキ)","seed camphor tree (Cinnamomum camphora)",""
"種子(クリ)","seed chestnut (Castanea crenata)",""
"種子(クルミ)","seed walnut (Juglans)",""
"種子(クルミ殻)","seed shell walnut (Juglans)",""
"種子(コムギ胚乳)","seed wheat (Triticum)",""
"種子(シイ種実)","seed seed/nuts chinquapin (Castanopsis)",""
"種子(ダイズ)",,"Needs translation"
"種子(チャンチンモドキ)","seed Napali hog plum (Choerospondias axillaris​)",""
"種子(トウガン)","seed white gourd/winter melon (Benincasa hispida)",""
"種子(トチノキ)","seed horse chestnut (Aesculus turbinata) Aesculus??",""
"種子(トチノキ果皮)","seed pericarp horse chestnut (Aesculus turbinata) Aesculus??",""
"種子(トチノキ種皮)","seed seed coat horse chestnut (Aesculus turbinata) Aesculus??",""
"種子(ドングリ","seed oak (Quercus)",""
"種子(ドングリ)","seed oak (Quercus)",""
"種子(ヒシ属果実)","seed fruit /achenes etc water caltrop (Trapa sp.) Water caltrop (Trapa natans var. bispinosa)",""
"種子（ヒョウタン）","seed, bottle gourd (Lagenaria siceraria)",""
"種子(ヒョウタン果皮)","seed pericarp bottle gourd (Lagenaria siceraria)",""
"種子(ヒョウタン類の果皮)","seed pericarp bottle gourd (Lagenaria siceraria)",""
"種子(ブドウ属)","seed grapes (Vitaceae)",""
"種子(ホタルイ-カンガレイ)","seed bulrush (Schoenoplectiella juncoides syn. Scirpus juncoides) bulrush (Schoenoplectiella triangulatus syn. Scirpus)",""
"種子（ホタルイ属）","seed, club-rush (Scirpus / Bolboschoenus / Schoenoplectus sp.) bulrush (Schoenoplectiella juncoides syn. Scirpus juncoides)",""
"種子(マツ属複維管束亜属球果)","seed cones pine (Pinus sp.) subgen compound vascular",""
"種子（ムクロジ）","seed, soapberry (Sapindaceae)",""
"種子(モモ)","seed peach (Amygdalus persica syn. Prunus)",""
"種子(モモ核)","seed peach (Amygdalus persica syn. Prunus)",""
"種子（ヤマブドウ）","seed Yama grape (Vitis coignetiae)",""
"種子(松笠)",,"Needs translation"
"種子(桃)","seed peach (Amygdalus sp.)",""
"種子(桃核)",,"Needs translation"
"種子(梅)","seed plum/cherry (Prunus sp.)",""
"種子(籾)","seed rice (Oryza sativa) husk",""
"種子/果実","seed fruit /achenes etc",""
"種子核(クルミ)","seed walnut (Juglans)",""
"種子殻","seed shell",""
"種子混じり泥炭","seed peat",""
"種実","seed/nuts",""
"種実,","seed/nuts",""
"種実,アカガシ亜属,果皮","seed/nuts pericarp Japanese evergreen oak (Quercus acuta)",""
"種実,アカメガシワ,","seed/nuts Japanese mallotus (Mallotus japonicus)",""
"種実,アワ,","seed/nuts foxtail millet (Setaria italica)",""
"種実,ウリ,","seed/nuts melon/gourd (Cucurbitaceae)",""
"種実,エゴ,","seed/nuts snowbell tree (Styrax japonica)",""
"種実,エゴノキ,","seed/nuts snowbell tree (Styrax japonica)",""
"種実,オオムギ・コムギ,","seed/nuts wheat (Triticum) barley (Hordeum sp.)",""
"種実,オオムギ,","seed/nuts barley (Hordeum sp.)",""
"種実,オニグルミ,","seed/nuts walnut (Juglans ailanthifolia)",""
"種実,オニグルミ,内果皮","seed/nuts endocarp pericarp walnut (Juglans ailanthifolia)",""
"種実,オニグルミ,核","seed/nuts walnut (Juglans ailanthifolia)",""
"種実,カシ類（ドングリ）,","seed/nuts oak (Quercus) oaks (Quercus subgen. Cyclobalanopsis)",""
"種実,カラスサンショウ,","seed/nuts prickly ash (Zanthoxylum ailanthoides syn. Fagara ailanthoides) prickly ash (Zanthoxylum piperitum)",""
"種実,キビ,","seed/nuts common millet (Panicum miliaceum)",""
"種実,キビ属,","seed/nuts common millet (Panicum miliaceum)",""
"種実,クリ,","seed/nuts chestnut (Castanea crenata)",""
"種実,クリ,子葉","seed/nuts cotyledon chestnut (Castanea crenata)",""
"種実,クリ,子葉1/4","seed/nuts cotyledon chestnut (Castanea crenata)",""
"種実,クリ？,","seed/nuts chestnut (Castanea crenata)",""
"種実,クルミ,","seed/nuts walnut (Juglans)",""
"種実,クルミ,半分","seed/nuts walnut (Juglans)",""
"種実,クルミ,核","seed/nuts walnut (Juglans)",""
"種実,クルミ,殻","seed/nuts shell walnut (Juglans)",""
"種実,クルミ属,","seed/nuts walnut (Juglans)",""
"種実,コムギ,","seed/nuts wheat (Triticum)",""
"種実,コメ,","seed/nuts rice (Oryza sativa)",""
"種実,コメ,3個","seed/nuts rice (Oryza sativa)",""
"種実,コメ,焼米","seed/nuts rice (Oryza sativa) rice (Oryza sativa)",""
"種実,ササゲ属,","seed/nuts Vigna bean (Vigna sp.) Vigna bean (Vigna sp.)",""
"種実,サンショウ,","seed/nuts prickly ash (Zanthoxylum piperitum)",""
"種実,シイ,","seed/nuts chinquapin (Castanopsis)",""
"種実,ソバ,","seed/nuts buckwheat (Fagopyrum esculentum)",""
"種実,ダイズ,","seed/nuts soya bean (Glycine max)",""
"種実,トチ,","seed/nuts Aesculus??",""
"種実,トチ,皮殻","seed/nuts shell Aesculus??",""
"種実,トチノキ,種皮","seed/nuts seed coat horse chestnut (Aesculus turbinata) Aesculus??",""
"種実,ドングリ,","seed/nuts oak (Quercus)",""
"種実,ドングリ,子葉","seed/nuts cotyledon oak (Quercus)",""
"種実,ナラガシワ,果皮","seed/nuts pericarp Asian white oak (Quercus aliena​)",""
"種実,ニワトコ,","seed/nuts Elderberry (Sambucus sp.)",""
"種実,ヒエ属,","seed/nuts barnyard millet (Echinochloa)",""
"種実,ヒョウタン,","seed/nuts bottle gourd (Lagenaria siceraria)",""
"種実,ヒョウタン,片","seed/nuts bottle gourd (Lagenaria siceraria)",""
"種実,ヒョウタン？,果皮","seed/nuts pericarp bottle gourd (Lagenaria siceraria)",""
"種実,ブドウ科,","seed/nuts grapes (Vitaceae)",""
"種実,ホルトノキ,","seed/nuts horutonoki tree (Elaeocarpus sylvestris var. ellipticus)",""
"種実,マメ,","seed/nuts legume (Fabaceae)",""
"種実,マメ？,","seed/nuts legume (Fabaceae)",""
"種実,マメ科,","seed/nuts Fabaceae legume (Fabaceae)",""
"種実,モモ,","seed/nuts peach (Amygdalus persica syn. Prunus)",""
"種実,モモ,核","seed/nuts peach (Amygdalus persica syn. Prunus)",""
"種実,不明,","unknown seed/nuts",""
"種実,堅果？,子実","nut seed/nuts grain",""
"種実,堅果類,","nut seed/nuts",""
"種実？（クルミ片？）","seed/nuts walnut (Juglans)",""
"種実(アカガシ-ツクバネガシ)","seed/nuts Japanese evergreen oak (Quercus acuta) Tsukubanegashi oak (Quercus sessilifolia)",""
"種実(アカガシ亜属:果実)",,"Needs translation"
"種実(アカガシ亜属)","seed/nuts Japanese evergreen oak (Quercus acuta)",""
"種実(アカガシ亜属果実)","seed/nuts fruit /achenes etc Japanese evergreen oak (Quercus acuta)",""
"種実(アサ果実)",,"Needs translation"
"種実(アズキ)","seed/nuts adzuki bean (Vigna angularis)",""
"種実(アブラチャン)","seed/nuts Aburatyan tree (Parabenzoin praecox)",""
"種実(アブラナ科)","seed/nuts mustard family (Brassicaceae)",""
"種実(アラカシ)",,"Needs translation"
"種実(アラカシ果実)","seed/nuts fruit /achenes etc ring-cupped oak (Quercus glauca)",""
"種実(イチイガシ)","seed/nuts red bark oak (Quercus gilva)",""
"種実(イチイガシ）","seed/nuts red bark oak (Quercus gilva)",""
"種実(イチイガシ果実)","seed/nuts fruit /achenes etc red bark oak (Quercus gilva)",""
"種実(イネ)","seed/nuts rice (Oryza sativa)",""
"種実(イネ胚乳)","seed/nuts rice (Oryza sativa)",""
"種実（ウリ種子）","seed seed/nuts, melon/gourd (Cucurbitaceae)",""
"種実(エゴノキ)","seed/nuts snowbell tree (Styrax japonica)",""
"種実（エゴノキ）","seed/nuts, snowbell (Styrax sp.)",""
"種実(エゴノキ核)","seed/nuts snowbell tree (Styrax japonica)",""
"種実（エゾエンゴサク根茎・炭化植物遺体）","carbonized plant seed/nuts stem root plant remains Ezoengosaku (Corydalis ambigua)",""
"種実（オオムギ炭化種子）","carbonized seed seed/nuts barley (Hordeum sp.)",""
"種実（オオムギ種子・炭化植物遺体）","carbonized plant seed seed/nuts plant remains barley (Hordeum sp.)",""
"種実（オオムギ穎果・炭化植物遺体（0.21g））","carbonized plant seed/nuts plant remains barley (Hordeum sp.)",""
"種実(オニグルミ:核)",,"Needs translation"
"種実(オニグルミ)","seed/nuts walnut (Juglans ailanthifolia)",""
"種実（オニグルミ）","seed/nuts walnut (Juglans ailanthifolia)",""
"種実(オニグルミ内果皮)","seed/nuts endocarp pericarp walnut (Juglans ailanthifolia)",""
"種実（オニグルミ堅果皮片・炭化植物遺体（0.52g））","carbonized plant nut seed/nuts plant remains pericarp walnut (Juglans ailanthifolia)",""
"種実（オニグルミ堅果皮片・炭化植物遺体（0.56g））","carbonized plant nut seed/nuts plant remains pericarp walnut (Juglans ailanthifolia)",""
"種実（オニグルミ堅果皮片・炭化植物遺体（0.59g））","carbonized plant nut seed/nuts plant remains pericarp walnut (Juglans ailanthifolia)",""
"種実（オニグルミ堅果皮片・炭化植物遺体（0.6g））","carbonized plant nut seed/nuts plant remains pericarp walnut (Juglans ailanthifolia)",""
"種実（オニグルミ堅果皮片・炭化植物遺体（1.01g））","carbonized plant nut seed/nuts plant remains pericarp walnut (Juglans ailanthifolia)",""
"種実（オニグルミ堅果皮片・炭化植物遺体（1.07g））","carbonized plant nut seed/nuts plant remains pericarp walnut (Juglans ailanthifolia)",""
"種実(オニグルミ核)","seed/nuts walnut (Juglans ailanthifolia)",""
"種実(カボチャ近似種種子)","seed seed/nuts or similar (Cucurbita sp.)",""
"種実（キビ塊片）","seed/nuts common millet (Panicum miliaceum)",""
"種実(クヌギ:果実)",,"Needs translation"
"種実(クヌギ節)","seed/nuts saw-tooth oak (Quercus acutissima)",""
"種実(クリ:果実)",,"Needs translation"
"種実(クリ:核)",,"Needs translation"
"種実（クリ子葉）","seed/nuts cotyledon chestnut (Castanea crenata)",""
"種実(クリ果実破片)","seed/nuts fruit /achenes etc chestnut (Castanea crenata)",""
"種実(クルミ:核)",,"Needs translation"
"種実(クルミ?)",,"Needs translation"
"種実(クルミ)","seed/nuts walnut (Juglans)",""
"種実（クルミ）","seed/nuts walnut (Juglans)",""
"種実(クルミ核)",,"Needs translation"
"種実（クルミ殻）","seed/nuts shell walnut (Juglans)",""
"種実（クルミ殻皮）",,"Needs translation"
"種実（クルミ片）","seed/nuts walnut (Juglans)",""
"種実(ココヤシ内果皮)","seed/nuts endocarp pericarp coconut palm (Cocos nucifera)",""
"種実(コナラ属:果実)",,"Needs translation"
"種実(コナラ属)","seed/nuts oak (Quercus sp.)",""
"種実（コナラ属）","seed/nuts, oak (Quercus sp.)",""
"種実(コナラ属アカガシ亜属果実)","seed/nuts fruit /achenes etc oak (Quercus sp.) Japanese evergreen oak (Quercus acuta)",""
"種実(コナラ属クヌギ節果実)","seed/nuts fruit /achenes etc oak (Quercus sp.) saw-tooth oak (Quercus acutissima)",""
"種実(コナラ属コナラ節幼果)","seed/nuts oak (Quercus sp.) Jolcham oak (Quercus serrata)",""
"種実(コナラ果実)","seed/nuts fruit /achenes etc oak (Quercus sp.) / ?Jolcham Oak (Quercus serrata)",""
"種実(コムギ胚乳)","seed/nuts wheat (Triticum)",""
"種実(ササゲ属炭化種子)","carbonized seed seed/nuts Vigna bean (Vigna sp.) Vigna bean (Vigna sp.)",""
"種実(シイ?)",,"Needs translation"
"種実(シイ)",,"Needs translation"
"種実(センダン)","seed/nuts chinaberry tree (Melia azedarach)",""
"種実(ツブラジイ果皮)","seed/nuts pericarp Japanese Chinquapin (Castanopsis cuspidata)",""
"種実(トチ)","seed/nuts Aesculus??",""
"種実(トチノキ:種子)",,"Needs translation"
"種実(トチノキ)","seed/nuts horse chestnut (Aesculus turbinata) Aesculus??",""
"種実（トチノキ果皮）","seed/nuts pericarp, horse chestnut (Aesculus turbinata)",""
"種実(トチノキ炭化子葉)","carbonized seed/nuts cotyledon horse chestnut (Aesculus turbinata) Aesculus??",""
"種実(トチノキ種子)","seed seed/nuts horse chestnut (Aesculus turbinata) Aesculus??",""
"種実（トチノキ種子）","seed seed/nuts, horse chestnut (Aesculus turbinata)",""
"種実(トチ果実)",,"Needs translation"
"種実(ドングリ:アラカシ)",,"Needs translation"
"種実（ドングリ?）",,"Needs translation"
"種実（ドングリ?殻皮）",,"Needs translation"
"種実(どんぐり)","seed/nuts oak acorn (Quercus sp.)",""
"種実(ドングリ)","seed/nuts oak (Quercus)",""
"種実(ナデシコ科ほか)",,"Needs translation"
